========================================
Total Params: 71888721
Trainable Params: 71888721
Non-trainable Params: 0
========================================
LOG FORMAT | segmentation_LOSS mIoU pixAcc | depth_LOSS abs_err rel_err | normal_LOSS mean median <11.25 <22.5 <30 | TIME
loss: 6.303315162658691, losses: tensor([2.6265, 2.4021, 1.2747], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 5.145481586456299, losses: tensor([1.9293, 2.6513, 0.5649], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.3192901611328125, losses: tensor([1.8112, 1.9058, 0.6023], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.207867622375488, losses: tensor([1.6542, 2.0570, 0.4966], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.888181686401367, losses: tensor([2.1104, 1.2831, 0.4947], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.422708988189697, losses: tensor([1.7941, 2.1048, 0.5238], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.043381690979004, losses: tensor([1.8733, 1.7250, 0.4451], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.9467506408691406, losses: tensor([1.7554, 1.7426, 0.4488], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.442880153656006, losses: tensor([1.5050, 1.4721, 0.4657], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.6244001388549805, losses: tensor([2.0404, 2.0924, 0.4916], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.0200700759887695, losses: tensor([1.6358, 1.8864, 0.4979], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.9356470108032227, losses: tensor([1.4400, 2.0402, 0.4555], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.596583843231201, losses: tensor([1.7991, 1.4017, 0.3958], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 4.470288276672363, losses: tensor([1.6127, 2.4524, 0.4051], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.9184999465942383, losses: tensor([1.4227, 2.1497, 0.3461], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.40155291557312, losses: tensor([1.5311, 1.4854, 0.3850], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.86936354637146, losses: tensor([1.7516, 1.7390, 0.3788], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.0432820320129395, losses: tensor([1.3882, 1.3019, 0.3532], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.816479206085205, losses: tensor([1.5585, 1.8420, 0.4160], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.1039438247680664, losses: tensor([1.4239, 1.3485, 0.3315], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.9005420207977295, losses: tensor([1.4139, 1.1921, 0.2945], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.3015859127044678, losses: tensor([1.5581, 1.3877, 0.3559], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.2188775539398193, losses: tensor([1.4738, 1.4127, 0.3323], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.190890312194824, losses: tensor([1.4318, 1.4772, 0.2819], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.2224903106689453, losses: tensor([1.4576, 1.4672, 0.2977], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.387620687484741, losses: tensor([1.4839, 1.5776, 0.3261], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.307828664779663, losses: tensor([1.6026, 1.4177, 0.2875], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.9224443435668945, losses: tensor([1.4022, 1.2088, 0.3114], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.9576239585876465, losses: tensor([1.4891, 1.1905, 0.2779], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.9159560203552246, losses: tensor([1.3740, 1.1955, 0.3465], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.682553768157959, losses: tensor([1.3695, 0.9916, 0.3215], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.969980001449585, losses: tensor([1.6161, 1.0475, 0.3064], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 3.1410861015319824, losses: tensor([1.7221, 1.1225, 0.2965], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.5424728393554688, losses: tensor([1.5225, 0.7455, 0.2745], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.697627067565918, losses: tensor([1.5257, 0.8387, 0.3332], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.918687343597412, losses: tensor([1.5156, 1.1339, 0.2692], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.42984676361084, losses: tensor([1.2462, 0.8950, 0.2887], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.5421156883239746, losses: tensor([1.2580, 0.9945, 0.2896], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.535304069519043, losses: tensor([1.2077, 1.0694, 0.2582], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.990283727645874, losses: tensor([1.3421, 1.3421, 0.3060], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.5747642517089844, losses: tensor([1.3629, 0.8809, 0.3310], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.6608572006225586, losses: tensor([1.3337, 1.0953, 0.2319], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.8337132930755615, losses: tensor([1.3050, 1.2835, 0.2453], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
loss: 2.059589385986328, losses: tensor([1.0490, 0.7555, 0.2552], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([1., 1., 1.], device='cuda:0')
