/zhome/e0/1/158047/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:474: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
========================================
Total Params: 71891291
Trainable Params: 71891291
Non-trainable Params: 0
========================================
LOG FORMAT | segmentation_LOSS mIoU pixAcc | depth_LOSS abs_err rel_err | normal_LOSS mean median <11.25 <22.5 <30 | TIME
loss: 0.8663777112960815, losses: tensor([3.0708, 0.8664, 1.1772], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.47921454906463623, losses: tensor([3.1569, 0.4792, 1.0093], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.34666886925697327, losses: tensor([3.0859, 0.3467, 1.1236], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2938300669193268, losses: tensor([3.1128, 0.2938, 1.1257], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.37516120076179504, losses: tensor([3.1399, 0.3752, 1.1391], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20661982893943787, losses: tensor([3.1133, 0.2066, 1.1383], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.27385464310646057, losses: tensor([3.1479, 0.2739, 1.0641], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.3031705319881439, losses: tensor([3.1165, 0.3032, 1.2732], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.24611009657382965, losses: tensor([3.0929, 0.2461, 1.1314], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21025720238685608, losses: tensor([3.1267, 0.2103, 1.2000], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.252567321062088, losses: tensor([3.1068, 0.2526, 1.1281], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20553477108478546, losses: tensor([3.0782, 0.2055, 1.1471], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.24003757536411285, losses: tensor([3.0795, 0.2400, 1.0940], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19652444124221802, losses: tensor([3.0900, 0.1965, 1.1109], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.24242743849754333, losses: tensor([3.1433, 0.2424, 1.2765], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.22938768565654755, losses: tensor([3.1379, 0.2294, 1.1310], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21278344094753265, losses: tensor([3.1251, 0.2128, 1.2641], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21102197468280792, losses: tensor([3.1361, 0.2110, 1.0938], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2043076902627945, losses: tensor([3.0657, 0.2043, 1.1121], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17111384868621826, losses: tensor([3.0804, 0.1711, 1.2164], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.24491149187088013, losses: tensor([3.1391, 0.2449, 0.9739], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.16883684694766998, losses: tensor([3.1323, 0.1688, 1.2305], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21080681681632996, losses: tensor([3.1153, 0.2108, 1.0533], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2601197063922882, losses: tensor([3.1612, 0.2601, 1.0875], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.18687504529953003, losses: tensor([3.0885, 0.1869, 1.1972], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19764794409275055, losses: tensor([3.1620, 0.1976, 1.0511], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12993627786636353, losses: tensor([3.1081, 0.1299, 1.0600], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.18544477224349976, losses: tensor([3.1484, 0.1854, 1.2201], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1791396588087082, losses: tensor([3.1669, 0.1791, 0.9718], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15116745233535767, losses: tensor([3.1241, 0.1512, 1.0045], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1825564205646515, losses: tensor([3.1416, 0.1826, 1.1162], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.16936984658241272, losses: tensor([3.1632, 0.1694, 1.1101], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14334411919116974, losses: tensor([3.1359, 0.1433, 1.2244], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19796645641326904, losses: tensor([3.1367, 0.1980, 1.0433], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21309028565883636, losses: tensor([3.1009, 0.2131, 1.1464], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20442749559879303, losses: tensor([3.1070, 0.2044, 1.1681], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.18027900159358978, losses: tensor([3.1344, 0.1803, 1.0973], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14687414467334747, losses: tensor([3.1249, 0.1469, 1.1114], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13275370001792908, losses: tensor([3.0923, 0.1328, 1.1071], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.192869633436203, losses: tensor([3.1241, 0.1929, 1.0947], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15192891657352448, losses: tensor([3.1438, 0.1519, 1.1523], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1414058953523636, losses: tensor([3.1370, 0.1414, 1.1152], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.251611590385437, losses: tensor([3.1366, 0.2516, 1.1665], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19541744887828827, losses: tensor([3.0876, 0.1954, 1.0631], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15203256905078888, losses: tensor([3.1229, 0.1520, 1.0872], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19781425595283508, losses: tensor([3.1232, 0.1978, 1.2042], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20519058406352997, losses: tensor([3.1433, 0.2052, 1.1941], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14323702454566956, losses: tensor([3.1218, 0.1432, 1.1627], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20347774028778076, losses: tensor([3.1215, 0.2035, 1.0493], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1942763775587082, losses: tensor([3.1223, 0.1943, 1.3271], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20655515789985657, losses: tensor([3.0953, 0.2066, 1.0059], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19183947145938873, losses: tensor([3.1620, 0.1918, 1.2411], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15085206925868988, losses: tensor([3.1168, 0.1509, 1.2828], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2038731575012207, losses: tensor([3.1224, 0.2039, 1.1450], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.222751185297966, losses: tensor([3.1557, 0.2228, 1.1271], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.22193285822868347, losses: tensor([3.0856, 0.2219, 1.2436], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12732380628585815, losses: tensor([3.1259, 0.1273, 1.2210], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17564453184604645, losses: tensor([3.0876, 0.1756, 1.1694], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.16600844264030457, losses: tensor([3.1241, 0.1660, 1.1282], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1322452872991562, losses: tensor([3.1092, 0.1322, 1.0463], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17909163236618042, losses: tensor([3.1398, 0.1791, 1.1364], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15282870829105377, losses: tensor([3.1049, 0.1528, 1.0070], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14167611300945282, losses: tensor([3.1226, 0.1417, 1.0906], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1680813580751419, losses: tensor([3.1580, 0.1681, 1.1795], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13880208134651184, losses: tensor([3.0881, 0.1388, 1.1435], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1769556701183319, losses: tensor([3.1036, 0.1770, 1.0891], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14910045266151428, losses: tensor([3.1100, 0.1491, 1.2057], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.136562779545784, losses: tensor([3.1057, 0.1366, 1.1622], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19153888523578644, losses: tensor([3.0933, 0.1915, 1.1383], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2323777675628662, losses: tensor([3.1149, 0.2324, 1.1760], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10994824022054672, losses: tensor([3.0897, 0.1099, 1.1592], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1937861442565918, losses: tensor([3.1045, 0.1938, 1.1617], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20927925407886505, losses: tensor([3.1312, 0.2093, 1.1372], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12995998561382294, losses: tensor([3.0798, 0.1300, 1.1104], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13496370613574982, losses: tensor([3.1018, 0.1350, 1.0337], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12029657512903214, losses: tensor([3.0987, 0.1203, 1.2370], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15967251360416412, losses: tensor([3.1334, 0.1597, 1.0979], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14969012141227722, losses: tensor([3.1169, 0.1497, 1.0872], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14057548344135284, losses: tensor([3.1324, 0.1406, 1.1713], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11775317788124084, losses: tensor([3.1065, 0.1178, 1.1759], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.22085298597812653, losses: tensor([3.0857, 0.2209, 0.9603], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17469584941864014, losses: tensor([3.1058, 0.1747, 1.0529], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14317364990711212, losses: tensor([3.1053, 0.1432, 1.1169], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.22265034914016724, losses: tensor([3.1087, 0.2227, 1.2658], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12060053646564484, losses: tensor([3.1720, 0.1206, 1.2026], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.3526064157485962, losses: tensor([3.1128, 0.3526, 0.9498], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13435520231723785, losses: tensor([3.1203, 0.1344, 0.9026], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13743959367275238, losses: tensor([3.0607, 0.1374, 1.1070], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14437474310398102, losses: tensor([3.1150, 0.1444, 1.1487], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11491575837135315, losses: tensor([3.1076, 0.1149, 1.0050], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12002904713153839, losses: tensor([3.1333, 0.1200, 1.1269], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13127528131008148, losses: tensor([3.1024, 0.1313, 1.0794], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1188700795173645, losses: tensor([3.1567, 0.1189, 1.2324], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10454165190458298, losses: tensor([3.0979, 0.1045, 1.0808], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1636868715286255, losses: tensor([3.0876, 0.1637, 1.1485], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.19070839881896973, losses: tensor([3.0983, 0.1907, 1.0631], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17567113041877747, losses: tensor([3.1243, 0.1757, 1.2809], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1479090005159378, losses: tensor([3.1187, 0.1479, 1.0009], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11619318276643753, losses: tensor([3.1176, 0.1162, 1.1314], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.139058455824852, losses: tensor([3.0901, 0.1391, 1.2691], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14443224668502808, losses: tensor([3.1183, 0.1444, 0.9499], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1541912853717804, losses: tensor([3.1277, 0.1542, 1.0591], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12116596847772598, losses: tensor([3.0927, 0.1212, 1.2876], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11058682203292847, losses: tensor([3.0437, 0.1106, 1.0805], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13326719403266907, losses: tensor([3.0932, 0.1333, 0.9803], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14424824714660645, losses: tensor([3.1446, 0.1442, 1.2156], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15685172379016876, losses: tensor([3.0863, 0.1569, 0.9956], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.09783788025379181, losses: tensor([3.0776, 0.0978, 1.0466], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1629217267036438, losses: tensor([3.1407, 0.1629, 1.0121], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.18180541694164276, losses: tensor([3.1484, 0.1818, 1.0186], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15341727435588837, losses: tensor([3.0879, 0.1534, 1.0400], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12724146246910095, losses: tensor([3.0899, 0.1272, 1.3223], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17058347165584564, losses: tensor([3.1056, 0.1706, 1.1653], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1144755557179451, losses: tensor([3.0834, 0.1145, 1.1345], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12609663605690002, losses: tensor([3.1251, 0.1261, 1.3525], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11728505790233612, losses: tensor([3.0971, 0.1173, 1.1165], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13956943154335022, losses: tensor([3.1186, 0.1396, 1.0549], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1643553227186203, losses: tensor([3.1273, 0.1644, 0.9426], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15367253124713898, losses: tensor([3.1318, 0.1537, 1.1824], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.18932442367076874, losses: tensor([3.1059, 0.1893, 1.0826], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11228609085083008, losses: tensor([3.0809, 0.1123, 1.2552], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.11567020416259766, losses: tensor([3.1019, 0.1157, 1.1882], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.21224887669086456, losses: tensor([3.1019, 0.2122, 1.1534], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13423024117946625, losses: tensor([3.1061, 0.1342, 0.9939], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1390668749809265, losses: tensor([3.1243, 0.1391, 1.0977], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13272517919540405, losses: tensor([3.1242, 0.1327, 1.1269], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2416386753320694, losses: tensor([3.0955, 0.2416, 1.2006], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13168464601039886, losses: tensor([3.1111, 0.1317, 1.2761], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.13045471906661987, losses: tensor([3.1315, 0.1305, 0.9316], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.20193549990653992, losses: tensor([3.1192, 0.2019, 1.1495], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1644565463066101, losses: tensor([3.1089, 0.1645, 1.2528], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12582698464393616, losses: tensor([3.0873, 0.1258, 1.0949], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.1119481772184372, losses: tensor([3.0989, 0.1119, 1.1231], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10615058243274689, losses: tensor([3.0925, 0.1062, 1.0855], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10159569978713989, losses: tensor([3.1480, 0.1016, 1.0335], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.27436792850494385, losses: tensor([3.1117, 0.2744, 1.0301], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.17764118313789368, losses: tensor([3.0975, 0.1776, 1.2196], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14342592656612396, losses: tensor([3.1084, 0.1434, 1.1033], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.15084894001483917, losses: tensor([3.0844, 0.1508, 1.1607], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10107961297035217, losses: tensor([3.1239, 0.1011, 0.9521], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12609542906284332, losses: tensor([3.1233, 0.1261, 1.2824], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10831114649772644, losses: tensor([3.0903, 0.1083, 1.2691], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.2224581390619278, losses: tensor([3.1070, 0.2225, 1.2847], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12499947100877762, losses: tensor([3.1178, 0.1250, 0.8943], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12316938489675522, losses: tensor([3.1269, 0.1232, 1.0083], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12180767953395844, losses: tensor([3.1062, 0.1218, 1.1540], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.14176689088344574, losses: tensor([3.0950, 0.1418, 1.1468], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.12842826545238495, losses: tensor([3.0943, 0.1284, 0.9885], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
loss: 0.10705094039440155, losses: tensor([3.0971, 0.1071, 1.1451], device='cuda:0', grad_fn=<CopySlices>), weights: tensor([0, 1, 0], device='cuda:0')
